index,county,latitude,longitude,service category,project type,parts,material,connector,equipment,land use,stakeholder,service provider,budget,construction area,load,KPI
test_1454,Los Angeles,34.127607,-118.296387,T,Unknown/Other,line,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Other,60237,9.91,2,923.8504247279151
test_1455,Tulare,36.373384,-119.211765,T,Natural Gas Pipeline,Not Applicable,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public Other,Contractor - 3rd Party,Unknown,52641,133.13,3,719.1153503349344
test_1456,Kern,35.594292,-118.964411,T,Electric,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Public Unknown,Contractor - 3rd Party,Utility Owner,61113,263.08,3,788.6474886728871
test_1457,Los Angeles,34.114708,-118.192098,T,Fencing,line,Steel (ST),PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,51910,9.63,7,684.0912022881935
test_1458,Los Angeles,34.193341,-118.818695,T,Landscaping,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Other,56958,28.33,2,641.4991238511693
test_1459,Los Angeles,34.100517,-118.41463,T,Fencing,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,33384,10.52,2,786.7975954481673
test_1460,Santa Barbara,34.479453,-120.084094,T,Bldg. Construction,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Developer,Unknown,48263,127.18,2,469.96020016301367
test_1461,Orange,33.424093,-117.606739,T,Sewer (Sanitary/Storm),line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,46934,9.48,3,1098.739908527947
test_1462,Orange,33.71338,-117.751274,T,Irrigation,main,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,45232,8.05,4,574.4364861502099
test_1463,Los Angeles,34.146628,-118.139476,T,Water Pipeline,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Public City Street,Contractor - 3rd Party,Utility Owner,19416,5.94,2,741.5196269539504
test_1464,Orange,33.848733,-117.788357,T,Fencing,line,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,35070,17.35,3,956.4054099991466
test_1465,Los Angeles,33.942387,-118.416062,T,Bldg. Construction,valve,Plastic,PLM,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Unknown,48332,16.08,3,1056.7477582731706
test_1466,Ventura,34.308048,-118.686969,T,Electric,line,Plastic,PLM,"Miscellaneous/Other including items not specifically mentioned in picklist and all powered hand tools (jackhammer, electric saw, etc.) (MO)",Private Land Owner,Contractor - 3rd Party,Utility Owner,49496,28.63,2,530.0697441017037
test_1467,Los Angeles,34.155533,-118.086178,T,Irrigation,line,Plastic,PPE,"Trencher, ditchwitch, rockwheel, similar equipment (TR)",Private Land Owner,Contractor - 3rd Party,Unknown,40272,14.32,3,530.2941200604823
test_1468,Tulare,36.301334,-119.372586,T,Electric,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Other,Unknown/Other,Other,48649,38.13,2,769.9541386026689
test_1469,Los Angeles,33.889151,-118.402127,T,Bldg. Construction,line,Plastic,PLM,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,48876,5.64,2,
test_1470,Los Angeles,34.037251,-118.423573,T,Water Pipeline,valve,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Other,Contractor - 3rd Party,Utility Owner,45828,7.77,3,761.1466820691354
test_1471,Riverside,33.580016,-117.14736,T,Electric,line,Plastic,PPE,"Hand Tools including picks, shovels, bars, hand post diggers, similar equipment (no powered equipment) (HT)",Private Other,Occupant,Unknown,84613,26.92,2,812.0786775279488
test_1472,Tulare,36.39177700000001,-119.372842,T,Electric,line,Plastic,MPL,"Backhoe/Trackhoe including backhoes, trackhoes, Gradalls, similar equipment (BT)",Private Land Owner,Contractor - 3rd Party,Utility Owner,78908,82.34,2,761.5497346005411
test_1473,Los Angeles,33.839463,-118.353699,T,Landscaping,line,Plastic,PPE,Not Available,Private Land Owner,Occupant,Utility Owner,61653,13.4,2,574.0084989122709
test_1474,Los Angeles,34.002028,-118.430656,T,Grading,line,Plastic,PLM,"Grader/Scraper including graders, scrapers, bobcats, skiploaders, similar equipment (GR)",Private Land Owner,Occupant,Unknown,66603,6.81,2,
